이직	NNG
퇴사	NNG
사표	NNG
휴직	NNG
꿈	NNG
진로	NNG
이력서	NNG
합격	NNG
친구	NNG
연락	NNG
수학여행	NNG
왕따	NNG
퇴원	NNG
성적	NNG
등수	NNG
장학금	NNG
상위권	NNG
기분	NNG
생각	NNG
심호흡	NNG
가슴	NNG
심장	NNG
공황	NNG
공황발작	NNG
공황증상	NNG
기억력	NNG
기억	NNG
아득	NNG
흐릿	NNG
건망중	NNG
기절	NNG
머리	NNG
관자놀이	NNG
두통	NNG
뒤통수	NNG
지루	NNG
피곤	NNG
무기력	NNG
반복	NNG
확인	NNG
습관	NNG
불면	NNG
불면증	NNG
수면장애	NNG
수면제	NNG
생리	NNG
입맛	NNG
식욕	NNG
악몽	NNG
알코올	NNG
중독	NNG
외출	NNG
이명	NNG
자해	NNG
집중	NNG
집중력	NNG
몰입	NNG
체력	NNG
체중	NNG
도청	NNG
호흡	NNG
환상	NNG
환청	NNG
검사	NNG
약	NNG
응급	NNG
응급처치	NNG
구급	NNG
하이	NNG
헬로우	NNG
헬로	NNG
안녕	NNG
안녕하세요	NNG
예약	NNG
소아과	NNG
내과	NNG
외래진료	NNG
진료	NNG
시술	NNG
조정	NNG
취소	NNG
연기	NNG
캔슬	NNG
변경	NNG
미뤄	NNG
미루어	NNG
불가	NNG
불가능	NNG
1시	NNG
2시	NNG
3시	NNG
4시	NNG
5시	NNG
6시	NNG
7시	NNG
8시	NNG
9시	NNG
10시	NNG
11시	NNG
12시	NNG
13시	NNG
14시	NNG
15시	NNG
16시	NNG
17시	NNG
18시	NNG
19시	NNG
20시	NNG
21시	NNG
22시	NNG
23시	NNG
24시	NNG
0분	NNG
1분	NNG
2분	NNG
3분	NNG
4분	NNG
5분	NNG
6분	NNG
7분	NNG
8분	NNG
9분	NNG
10분	NNG
11분	NNG
12분	NNG
13분	NNG
14분	NNG
15분	NNG
16분	NNG
17분	NNG
18분	NNG
19분	NNG
20분	NNG
21분	NNG
22분	NNG
23분	NNG
24분	NNG
25분	NNG
26분	NNG
27분	NNG
28분	NNG
29분	NNG
30분	NNG
31분	NNG
32분	NNG
33분	NNG
34분	NNG
35분	NNG
36분	NNG
37분	NNG
38분	NNG
39분	NNG
40분	NNG
41분	NNG
42분	NNG
43분	NNG
44분	NNG
45분	NNG
46분	NNG
47분	NNG
48분	NNG
